Date,Close
1973-05-03,1.49
1973-05-04,1.49
1973-05-07,1.49
1973-05-08,1.48
1973-05-09,1.50
1973-05-10,1.50
1973-05-11,1.50
1973-05-14,1.49
1973-05-15,1.48
1973-05-16,1.48
1973-05-17,1.49
1973-05-18,1.49
1973-05-21,1.47
1973-05-22,1.48
1973-05-23,1.49
1973-05-24,1.50
1973-05-25,1.51
1973-05-29,1.50
1973-05-30,1.50
1973-05-31,1.51
1973-06-01,1.49
1973-06-04,1.48
1973-06-05,1.48
1973-06-06,1.48
1973-06-07,1.49
1973-06-08,1.49
1973-06-11,1.51
1973-06-12,1.51
1973-06-13,1.50
1973-06-14,1.50
1973-06-15,1.50
1973-06-18,1.49
1973-06-19,1.50
1973-06-20,1.51
1973-06-21,1.50
1973-06-22,1.50
1973-06-25,1.50
1973-06-26,1.50
1973-06-27,1.50
1973-06-28,1.50
1973-06-29,1.50
1973-07-02,1.51
1973-07-03,1.51
1973-07-05,1.51
1973-07-06,1.51
1973-07-09,1.52
1973-07-10,1.52
1973-07-11,1.52
1973-07-12,1.53
1973-07-13,1.52
1973-07-16,1.52
1973-07-17,1.50
1973-07-18,1.48
1973-07-19,1.49
1973-07-20,1.47
1973-07-23,1.50
1973-07-24,1.49
1973-07-25,1.50
1973-07-26,1.50
1973-07-27,1.49
1973-07-30,1.49
1973-07-31,1.49
1973-08-01,1.49
1973-08-02,1.49
1973-08-03,1.49
1973-08-06,1.50
1973-08-07,1.50
1973-08-08,1.49
1973-08-09,1.49
1973-08-10,1.49
1973-08-13,1.49
1973-08-14,1.48
1973-08-15,1.48
1973-08-16,1.45
1973-08-17,1.49
1973-08-20,1.48
1973-08-21,1.47
1973-08-22,1.42
1973-08-23,1.40
1973-08-24,1.42
1973-08-27,1.42
1973-08-28,1.43
1973-08-29,1.43
1973-08-30,1.45
1973-08-31,1.44
1973-09-04,1.45
1973-09-05,1.45
1973-09-06,1.47
1973-09-07,1.45
1973-09-10,1.45
1973-09-11,1.45
1973-09-12,1.47
1973-09-13,1.47
1973-09-14,1.45
1973-09-17,1.45
1973-09-18,1.45
1973-09-19,1.45
1973-09-20,1.45
1973-09-21,1.45
1973-09-24,1.45
1973-09-25,1.45
1973-09-26,1.46
1973-09-27,1.50
1973-09-28,1.51
1973-10-01,1.51
1973-10-02,1.52
1973-10-03,1.55
1973-10-04,1.59
1973-10-05,1.60
1973-10-08,1.60
1973-10-09,1.62
1973-10-10,1.61
1973-10-11,1.60
1973-10-12,1.61
1973-10-15,1.60
1973-10-16,1.58
1973-10-17,1.59
1973-10-18,1.58
1973-10-19,1.58
1973-10-22,1.53
1973-10-23,1.52
1973-10-24,1.52
1973-10-25,1.53
1973-10-26,1.57
1973-10-29,1.60
1973-10-30,1.60
1973-10-31,1.59
1973-11-01,1.57
1973-11-02,1.57
1973-11-05,1.51
1973-11-06,1.49
1973-11-07,1.51
1973-11-08,1.53
1973-11-09,1.48
1973-11-12,1.49
1973-11-13,1.48
1973-11-14,1.48
1973-11-15,1.46
1973-11-16,1.47
1973-11-19,1.45
1973-11-20,1.43
1973-11-21,1.43
1973-11-23,1.43
1973-11-26,1.40
1973-11-27,1.39
1973-11-28,1.37
1973-11-29,1.34
1973-11-30,1.34
1973-12-03,1.32
1973-12-04,1.34
1973-12-05,1.32
1973-12-06,1.32
1973-12-07,1.32
1973-12-10,1.32
1973-12-11,1.32
1973-12-12,1.31
1973-12-13,1.32
1973-12-14,1.34
1973-12-17,1.33
1973-12-18,1.33
1973-12-19,1.32
1973-12-20,1.32
1973-12-21,1.32
1973-12-24,1.33
1973-12-26,1.32
1973-12-27,1.31
1973-12-28,1.32
1973-12-31,1.34
1974-01-02,1.34
1974-01-03,1.42
1974-01-04,1.45
1974-01-07,1.50
1974-01-08,1.47
1974-01-09,1.40
1974-01-10,1.44
1974-01-11,1.55
1974-01-14,1.57
1974-01-15,1.55
1974-01-16,1.57
1974-01-17,1.61
1974-01-18,1.58
1974-01-21,1.59
1974-01-22,1.59
1974-01-23,1.59
1974-01-24,1.60
1974-01-25,1.57
1974-01-28,1.55
1974-01-29,1.57
1974-01-30,1.52
1974-01-31,1.53
1974-02-01,1.58
1974-02-04,1.53
1974-02-05,1.53
1974-02-06,1.52
1974-02-07,1.55
1974-02-08,1.52
1974-02-11,1.49
1974-02-12,1.49
1974-02-13,1.49
1974-02-14,1.50
1974-02-15,1.51
1974-02-19,1.51
1974-02-20,1.52
1974-02-21,1.52
1974-02-22,1.55
1974-02-25,1.52
1974-02-26,1.55
1974-02-27,1.52
1974-02-28,1.53
1974-03-01,1.52
1974-03-04,1.56
1974-03-05,1.56
1974-03-06,1.57
1974-03-07,1.58
1974-03-08,1.57
1974-03-11,1.58
1974-03-12,1.59
1974-03-13,1.60
1974-03-14,1.59
1974-03-15,1.58
1974-03-18,1.58
1974-03-19,1.57
1974-03-20,1.57
1974-03-21,1.56
1974-03-22,1.56
1974-03-25,1.52
1974-03-26,1.50
1974-03-27,1.49
1974-03-28,1.45
1974-03-29,1.47
1974-04-01,1.48
1974-04-02,1.47
1974-04-03,1.45
1974-04-04,1.45
1974-04-05,1.42
1974-04-08,1.42
1974-04-09,1.42
1974-04-10,1.41
1974-04-11,1.39
1974-04-15,1.42
1974-04-16,1.42
1974-04-17,1.40
1974-04-18,1.41
1974-04-19,1.41
1974-04-22,1.41
1974-04-23,1.40
1974-04-24,1.40
1974-04-25,1.36
1974-04-26,1.37
1974-04-29,1.40
1974-04-30,1.39
1974-05-01,1.40
1974-05-02,1.39
1974-05-03,1.40
1974-05-06,1.39
1974-05-07,1.36
1974-05-08,1.35
1974-05-09,1.35
1974-05-10,1.27
1974-05-13,1.26
1974-05-14,1.26
1974-05-15,1.30
1974-05-16,1.29
1974-05-17,1.26
1974-05-20,1.28
1974-05-21,1.26
1974-05-22,1.27
1974-05-23,1.26
1974-05-24,1.26
1974-05-28,1.26
1974-05-29,1.26
1974-05-30,1.25
1974-05-31,1.25
1974-06-03,1.26
1974-06-04,1.27
1974-06-05,1.26
1974-06-06,1.26
1974-06-07,1.29
1974-06-10,1.28
1974-06-11,1.28
1974-06-12,1.26
1974-06-13,1.27
1974-06-14,1.26
1974-06-17,1.25
1974-06-18,1.24
1974-06-19,1.24
1974-06-20,1.24
1974-06-21,1.20
1974-06-24,1.20
1974-06-25,1.20
1974-06-26,1.18
1974-06-27,1.18
1974-06-28,1.18
1974-07-01,1.16
1974-07-02,1.12
1974-07-03,1.14
1974-07-05,1.16
1974-07-08,1.15
1974-07-09,1.14
1974-07-10,1.16
1974-07-11,1.16
1974-07-12,1.20
1974-07-15,1.25
1974-07-16,1.21
1974-07-17,1.26
1974-07-18,1.27
1974-07-19,1.28
1974-07-22,1.26
1974-07-23,1.25
1974-07-24,1.24
1974-07-25,1.20
1974-07-26,1.24
1974-07-29,1.27
1974-07-30,1.28
